date,composite_pmi,consumer_confidence,consumer_spending,current_account,exports,gdp,gdp_yoy,government_bond_10Y,imports,industrial_production,inflation_rate,interest_rate,manufacturing_pmi,manufacturing_production,money_supply_m2,ppi_change_yoy,services_pmi,stock_market,wpi_inflation
01/01/1999,0,0,0,0,2743,0,0,12.22,3445,5.1,0,0,0,0,2929.19,9.38,0,3315.57,0
01/02/1999,0,0,0,0,2854,0,0,12.22,3282,3.5,0,0,0,0,2951.49,8.64,0,3399.63,0
01/03/1999,0,0,0,310,3278,0,0,12.22,3693,4.5,0,0,0,0,3141.09,8.95,0,3739.96,0
01/04/1999,0,0,0,0,2735,0,0,12.22,3328,4.7,0,0,0,0,3151.2,8.36,0,3325.69,0
01/05/1999,0,0,0,0,2672,0,0,12.22,3657,7.4,0,0,0,0,3186.68,7.71,0,3963.56,0
01/06/1999,0,0,0,-1760,2764,0,0,12.22,3673,4.8,0,0,0,0,3188.93,5.26,0,4140.73,0
01/07/1999,0,0,0,0,3143,0,0,11.64,4207,6.2,0,0,0,0,3140.55,3.16,0,4542.34,0
01/08/1999,0,0,0,0,3169,0,0,11.59,4175,7.3,0,0,0,0,3130.74,3.37,0,4898.21,0
01/09/1999,0,0,0,-1110,3170,0,0,11.63,4629,7.3,0,0,0,0,3172.88,2.2,0,4764.42,0
01/10/1999,0,0,0,0,3138,0,0,11.52,4147,8.4,0,0,0,0,3225,0,0,4444.56,0
01/11/1999,0,0,0,0,2937,0,0,11.38,4117,3.8,0,0,0,0,3260.99,0,0,4622.21,0
01/12/1999,0,0,0,-230,3068,452.7,7.6,11.2,4615,8.1,0,0,0,0,3367.92,0,0,5005.82,0
01/01/2000,0,0,0,0,2748,0,0,10.9,3879,4.9,0,0,0,0,3359.51,2.2,0,5205.29,0
01/02/2000,0,0,0,0,3404,0,0,10.41,4344,8.2,0,0,0,0,3429.37,3.33,0,5446.98,0
01/03/2000,0,0,0,-1070,3860,0,0,10.76,4871,8.3,0,0,0,0,3468.37,5.62,0,5001.28,0
01/04/2000,0,0,0,0,3310,0,0,10.34,4401,6.5,0,0,0,0,3549.76,5.56,0,4657.55,0
01/05/2000,0,0,0,0,3577,0,0,10.83,4371,6,0,0,0,0,3566.77,5.56,0,4433.61,0
01/06/2000,0,0,0,-2560,3455,0,0,11.06,4028,5.9,0,0,0,0,3584.52,4.4,0,4748.77,0
01/07/2000,0,0,0,0,3526,0,0,11.35,4487,5,0,8,0,0,3492.74,4.35,0,4279.86,0
01/08/2000,0,0,0,0,3670,0,0,11.51,3993,4.9,0,14.5,0,0,3482.72,4.35,0,4477.31,0
01/09/2000,0,0,0,-1630,3848,0,0,11.54,4249,5.8,0,10,0,0,3514.79,3.23,0,4090.38,0
01/10/2000,0,0,0,0,3719,0,0,11.6,4264,6.6,0,8,0,0,3605.77,3.19,0,3711.02,0
01/11/2000,0,0,0,0,3604,0,0,11.35,4698,7.3,0,8,0,0,3628.15,2.11,0,3997.99,0
01/12/2000,0,0,0,760,3657,462.15,4.3,10.89,3976,3.5,0,8,0,0,3728.52,3.23,0,3972.12,0
01/01/2001,0,0,0,0,3666,0,0,10.42,4007,4.5,0,0,0,0,3655.53,3.23,0,4326.72,0
01/02/2001,0,0,0,0,3695,0,0,10.08,3457,2.9,0,7.5,0,0,3733.66,3.23,0,4247.04,0
01/03/2001,0,0,0,770,4309,0,0,10.37,4625,2.3,0,7,0,0,3844.9,2.13,0,3604.38,0
01/04/2001,0,0,0,0,3115,0,0,10.13,4094,2.5,0,6.75,0,0,3969.8,2.11,0,3519.16,0
01/05/2001,0,0,0,0,3629,0,0,9.76,4674,1.6,0,6.5,0,0,4016.88,2.11,0,3631.91,0
01/06/2001,0,0,0,1130,3612,0,0,9.52,4017,2.6,0,6.5,0,0,4024.83,4.21,0,3456.78,0
01/07/2001,0,0,0,0,3433,0,0,9.36,4923,2.6,0,6.5,0,0,3930.87,4.17,0,3329.28,0
01/08/2001,0,0,0,0,3647,0,0,9.11,4372,3,0,6.5,0,0,3946.19,5.21,0,3244.95,0
01/09/2001,0,0,0,-970,3702,0,0,9.12,3902,2,0,6.5,0,0,3888.33,4.17,0,2811.6,0
01/10/2001,0,0,0,0,3718,0,0,8.8,4093,3.2,0,6.5,0,0,3959.05,4.12,0,2989.35,0
01/11/2001,0,0,0,0,3576,0,0,7.88,4158,2.4,0,6.5,0,0,4049.45,5.15,0,3287.56,0
01/12/2001,0,0,0,480,3250,478.97,5.5,7.94,4079,3,0,6.5,0,0,4100.28,5.21,0,3262.33,0
01/01/2002,0,0,0,0,4253,0,0,7.67,4243,3.8,0,6.5,0,0,4057.13,5.21,0,3311.03,0
01/02/2002,0,0,0,0,3535,0,0,7.63,3759,2.4,0,6.5,0,0,4133.35,5.21,0,3562.31,0
01/03/2002,0,0,0,2760,4141,0,0,7.36,4433,3.2,0,6,0,0,4278.84,5.21,0,3469.35,0
01/04/2002,0,0,0,0,4035,0,0,7.41,4207,4.1,0,6,0,0,4391.26,4.12,0,3338.16,0
